feature_name,source
variant_size_40,Variant option dummy variable
variant_size_41,Variant option dummy variable
variant_size_41 - 46,Variant option dummy variable
variant_size_41-46,Variant option dummy variable
variant_size_42,Variant option dummy variable
variant_size_43,Variant option dummy variable
variant_size_44,Variant option dummy variable
variant_size_45,Variant option dummy variable
variant_size_46,Variant option dummy variable
variant_size_L,Variant option dummy variable
variant_size_M,Variant option dummy variable
variant_size_S,Variant option dummy variable
variant_size_U,Variant option dummy variable
variant_size_XL,Variant option dummy variable
variant_size_XS,Variant option dummy variable
variant_other_tamanho:24,Variant option dummy variable
variant_other_tamanho:25,Variant option dummy variable
variant_other_tamanho:26,Variant option dummy variable
variant_other_tamanho:27,Variant option dummy variable
variant_other_tamanho:28,Variant option dummy variable
variant_other_tamanho:29,Variant option dummy variable
variant_other_tamanho:30,Variant option dummy variable
variant_other_tamanho:31,Variant option dummy variable
variant_other_tamanho:32,Variant option dummy variable
variant_other_tamanho:33,Variant option dummy variable
variant_other_tamanho:34,Variant option dummy variable
variant_other_tamanho:35,Variant option dummy variable
variant_other_tamanho:35-40,Variant option dummy variable
variant_other_tamanho:36,Variant option dummy variable
variant_other_tamanho:37,Variant option dummy variable
variant_other_tamanho:38,Variant option dummy variable
variant_other_tamanho:39,Variant option dummy variable
variant_other_tamanho:40,Variant option dummy variable
variant_other_tamanho:41,Variant option dummy variable
variant_other_tamanho:41-46,Variant option dummy variable
variant_other_tamanho:42,Variant option dummy variable
variant_other_tamanho:43,Variant option dummy variable
variant_other_tamanho:44,Variant option dummy variable
variant_other_tamanho:45,Variant option dummy variable
variant_other_tamanho:46,Variant option dummy variable
variant_other_tamanho:L,Variant option dummy variable
variant_other_tamanho:M,Variant option dummy variable
variant_other_tamanho:S,Variant option dummy variable
variant_other_tamanho:U,Variant option dummy variable
variant_other_tamanho:XL,Variant option dummy variable
variant_other_tamanho:XS,Variant option dummy variable
variant_other_title:35,Variant option dummy variable
variant_other_title:36,Variant option dummy variable
variant_other_title:37,Variant option dummy variable
variant_other_title:38,Variant option dummy variable
variant_other_title:39,Variant option dummy variable
variant_other_title:40,Variant option dummy variable
variant_other_title:41,Variant option dummy variable
variant_other_title:42,Variant option dummy variable
variant_other_title:43,Variant option dummy variable
variant_other_title:44,Variant option dummy variable
variant_other_title:45,Variant option dummy variable
variant_other_title:46,Variant option dummy variable
variant_other_title:Offsets 1.68 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 1.81 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 1.94 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 10.7 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 1019.57 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 104.44 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 1094.81 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 11.49 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 112.15 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 1175.61 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 12.34 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 120.43 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 1262.37 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 129.32 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 13.25 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 1355.53 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 138.86 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 14.23 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 1455.57 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 149.11 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 15.28 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 1562.99 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 16.41 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 160.11 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 1678.34 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 17.62 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 171.93 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 18.92 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 1802.2 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 184.61 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 198.24 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 2.09 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 2.24 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 2.4 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 2.58 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 2.77 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 2.97 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 20.31 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 21.81 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 212.87 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 228.58 kg of CO2,Variant option dummy variable
variant_other_title:Offsets 23.42 kg of CO2,Variant option dummy variable
