feature_name,source
description_através,TF-IDF from product descriptions
description_através laço,TF-IDF from product descriptions
description_autónomos,TF-IDF from product descriptions
description_autónomos para,TF-IDF from product descriptions
description_azul,TF-IDF from product descriptions
description_azul com,TF-IDF from product descriptions
description_bag,TF-IDF from product descriptions
description_bag missus,TF-IDF from product descriptions
description_baixo,TF-IDF from product descriptions
description_baixo com,TF-IDF from product descriptions
description_baixo em,TF-IDF from product descriptions
description_baixo está,TF-IDF from product descriptions
description_banda,TF-IDF from product descriptions
description_banda elástica,TF-IDF from product descriptions
description_banho,TF-IDF from product descriptions
description_banho com,TF-IDF from product descriptions
description_banho texturado,TF-IDF from product descriptions
description_bege,TF-IDF from product descriptions
description_bem,TF-IDF from product descriptions
description_bem estender,TF-IDF from product descriptions
description_biquíni,TF-IDF from product descriptions
description_biquíni abstrato,TF-IDF from product descriptions
description_biquíni amarelo,TF-IDF from product descriptions
description_biquíni azul,TF-IDF from product descriptions
description_biquíni bordado,TF-IDF from product descriptions
description_biquíni branco,TF-IDF from product descriptions
description_biquíni com,TF-IDF from product descriptions
description_biquíni coral,TF-IDF from product descriptions
description_biquíni floral,TF-IDF from product descriptions
description_biquíni lilás,TF-IDF from product descriptions
description_biquíni padrão,TF-IDF from product descriptions
description_biquíni preto,TF-IDF from product descriptions
description_biquíni pérola,TF-IDF from product descriptions
description_biquíni rosa,TF-IDF from product descriptions
description_biquíni texturado,TF-IDF from product descriptions
description_biquíni verde,TF-IDF from product descriptions
description_bolas,TF-IDF from product descriptions
description_bolas ténis,TF-IDF from product descriptions
description_bolso,TF-IDF from product descriptions
description_bolso interior,TF-IDF from product descriptions
description_bordado,TF-IDF from product descriptions
description_bordado inglês,TF-IDF from product descriptions
description_bordeaux,TF-IDF from product descriptions
description_bordeaux com,TF-IDF from product descriptions
description_branco,TF-IDF from product descriptions
description_branco com,TF-IDF from product descriptions
description_branco copas,TF-IDF from product descriptions
description_branco tem,TF-IDF from product descriptions
description_branco texturado,TF-IDF from product descriptions
description_brasileiro,TF-IDF from product descriptions
description_brasileiro cintura,TF-IDF from product descriptions
description_brilho,TF-IDF from product descriptions
description_brilho com,TF-IDF from product descriptions
description_cabelo,TF-IDF from product descriptions
description_cabelo disponível,TF-IDF from product descriptions
description_cabelo larga,TF-IDF from product descriptions
description_calças,TF-IDF from product descriptions
description_calças cintura,TF-IDF from product descriptions
description_calças corte,TF-IDF from product descriptions
description_calças perfuradas,TF-IDF from product descriptions
description_calção,TF-IDF from product descriptions
description_calção soft,TF-IDF from product descriptions
